Disposition,Orbital Period,Transit Epoch,Impact Parameter,Transit Duration,Transit Depth,Planetary Radius,Equilibrium Temperature,Transit Signal-to-Noise,Stellar Effective Temperature,Stellar Surface Gravity,Stellar Radius,Right Ascension,Declination,Kepler-band
FALSE POSITIVE,0.73,132.04,0.52,2.7,23,0.51,2151,14.3,6084,4.43,1.03,285.9,39.65,12.55
FALSE POSITIVE,0.82,132.3,0.26,2.43,127,0.92,1559,11.3,4889,4.5,0.84,296.82,42.51,15.76
FALSE POSITIVE,1.29,132.11,0.04,3.74,86.5,0.78,1530,11.1,5693,4.56,0.84,296.28,39.87,15.27
FALSE POSITIVE,8.48,135.85,0,5.79,171,0.95,759,14.7,5415,4.56,0.73,298.8,46.72,14.88
FALSE POSITIVE,227.63,143.82,0.24,9.47,131,1.79,394,8.8,6240,4.1,1.55,293.72,50.18,13.61
CONFIRMED,18.14,136.81,0.95,3.84,311,1.41,433,11.3,4257,4.65,0.6,286.95,43.82,15.46
CONFIRMED,51.11,143.78,0.03,7.71,330,1.6,478,21.9,5968,4.53,0.88,283.77,42.03,14.06
CONFIRMED,47.99,160.65,0.87,5.34,859,3.35,493,25.7,5641,4.41,0.98,283.21,41.04,14.19
FALSE POSITIVE,359.05,295.77,0,16.64,5620,7.76,260,91.1,5609,4.35,1.05,291.03,38.7,14.22
FALSE POSITIVE,29.8,150.68,1.24,3.11,1050,24.73,505,17.9,5223,4.49,0.83,291.35,40.59,15.95
FALSE POSITIVE,1,132.37,0.57,7.97,219000,42.5,1714,1766.7,5775,4.52,0.84,295.72,39.78,15.1
FALSE POSITIVE,0.93,132.36,1.05,2.61,87.8,7.29,2202,15.2,6499,4.38,1.17,288.98,43.1,15.01
FALSE POSITIVE,37.11,166.25,0.61,4.11,367,1.71,492,7.9,5591,4.56,0.86,285.8,45.22,15.95
FALSE POSITIVE,1.02,131.57,1.09,6.39,246,13.68,2129,18.5,6444,4.38,1.2,298.99,47.76,15.37
FALSE POSITIVE,12.08,134.48,0.11,3.54,313,2.09,932,8.6,6422,4.36,1.18,287.7,51.23,14.12
FALSE POSITIVE,401.59,172.21,0.18,14.77,115,1.01,256,11.9,6170,4.48,0.94,294.81,44.26,13.38
FALSE POSITIVE,53.91,132.27,0.98,44.05,217,4.25,697,56.4,6085,3.92,2.02,294.07,42.49,12.15
FALSE POSITIVE,1.23,131.77,0.19,2.19,19.6,0.77,2317,10.8,6011,3.97,1.73,290.35,47.97,12.98
FALSE POSITIVE,386.83,177.57,0.95,5.05,1020,6.54,340,19.7,6384,4.11,1.62,281.29,43.52,13.64
FALSE POSITIVE,15.87,135.63,0.92,7.47,4090,8.15,830,136.5,6161,4.28,1.05,299.05,41.54,13.91
FALSE POSITIVE,42.4,151.96,0.97,7.25,484,3.23,580,36.9,6133,4.37,1.12,299.06,40.52,13.38
FALSE POSITIVE,25.95,154.88,1.27,14.6,5100,39.94,680,125,6363,4.44,1.04,293.68,38.99,15.77
FALSE POSITIVE,14.13,137.12,0.05,2.33,263,1.6,781,20.3,6072,4.47,0.99,292.18,39.56,14.28
FALSE POSITIVE,13.69,133.79,0.14,4.2,145,1.12,770,14.2,5906,4.43,0.93,295.38,46.05,14.57
FALSE POSITIVE,25.96,154.71,1.09,26.34,158,9.75,618,11.9,6139,4.53,0.88,293.76,39,14.88
FALSE POSITIVE,14.16,134.01,1.2,46.36,347,90.09,1910,225.1,8753,3.67,3.75,300.02,40.53,11.98
FALSE POSITIVE,207.47,254.08,0.31,7.47,229,1.57,316,8,5731,4.36,1.03,288.53,42.18,13.75
FALSE POSITIVE,12.37,138.06,1.19,90.01,391,81.01,1253,85.7,5165,3.49,3.6,297.64,47.45,13.46
FALSE POSITIVE,14.54,144.27,22.28,9.12,144000,2722.92,834,768.9,5997,4.3,1.15,292.17,41.62,16.71
FALSE POSITIVE,12.43,141.51,0.95,28.54,1230,3.8,724,89.9,5713,4.55,0.85,297.59,40.59,15.99
FALSE POSITIVE,12.43,141.53,0.96,23.94,459,2.52,733,40.8,5713,4.54,0.89,297.58,40.6,15.72
FALSE POSITIVE,30.96,156.14,1.21,14.99,461,89.18,1064,27.1,5367,3.22,3.56,295.08,39.96,13.41
FALSE POSITIVE,1.04,131.84,1.24,8.12,1840,30.94,1858,374.1,5838,4.37,0.99,296.91,40.26,13.61
FALSE POSITIVE,2.54,135.04,0.56,3.21,349000,109.72,1608,608.9,5503,4.03,1.62,294.77,46.37,16.32
FALSE POSITIVE,56.41,138.31,0.63,18.43,102000,21.93,358,1597.3,5011,4.62,0.65,298.52,48.03,15.68
FALSE POSITIVE,7.96,131.56,1.12,4.48,191000,61.54,633,879.2,4478,4.58,0.72,292.93,38.48,16.2
FALSE POSITIVE,6.4,134.7,1.04,4.74,83300,51.77,1042,154.4,6233,4.47,0.99,283.07,41.54,14.8
CONFIRMED,34.92,157.67,0.03,7.34,500,2.39,602,15.4,6194,4.45,1.07,295.81,40.01,15.67
FALSE POSITIVE,8.48,135.85,0.2,7.49,81400,22.25,762,301.4,5385,4.57,0.79,298.8,46.67,13.18
CONFIRMED,22.13,144.93,0.96,4.47,418,3.94,721,12.6,5312,4.1,1.45,292,49.3,14.52
FALSE POSITIVE,10.68,140.16,0.27,2.31,201,1.12,712,9.4,5459,4.58,0.8,296.9,47.63,15.25
FALSE POSITIVE,42.56,161.57,0.78,3.37,208000,51.86,487,950,5764,4.55,0.86,293.46,41.05,15.83
FALSE POSITIVE,24.22,133.47,0.21,4.36,322,1.58,596,13.6,5659,4.47,0.89,289.01,39.09,15.26
CONFIRMED,44.2,163.21,0.35,4.95,236,1.14,409,18.6,5002,4.54,0.75,283.99,41.65,13.51
CONFIRMED,15.03,131.89,0.9,6.33,132,2.18,928,14.9,5849,4.08,1.6,288.88,39.74,14.61
FALSE POSITIVE,12.63,140.06,1.15,3.16,39400,87.2,1214,32.5,6878,4.01,1.84,301.15,44.87,12.93
FALSE POSITIVE,124.94,177.69,0.54,7.56,241000,49.34,362,332.8,5887,4.48,0.94,294.16,45.38,12.34
FALSE POSITIVE,12.72,140.37,0.81,2.46,284,1.37,589,12.7,4914,4.61,0.72,286.64,39.49,13.26
FALSE POSITIVE,119.68,176.11,0.53,32.19,299000,193.91,847,5357.7,8275,3.73,3.25,291.17,38.77,8.35
FALSE POSITIVE,6.4,134.7,0.25,5.22,377000,59.15,1031,4322.4,6133,4.44,0.94,283.07,41.54,13.72
FALSE POSITIVE,8.48,135.85,0.24,7.46,83100,65,1504,5219.5,7059,3.95,2.21,298.8,46.67,7.63
FALSE POSITIVE,117.68,147.21,0.43,12.76,45400,45.43,575,2426.9,6429,3.9,2.08,291.02,38.57,12.11
FALSE POSITIVE,17.73,144.07,0.38,4.14,147000,35.18,692,922.1,6021,4.52,0.9,296.73,39.19,15.56
FALSE POSITIVE,100.4,216.08,0.44,9.74,53800,26,420,1331,5903,4.35,1.1,296.22,47.92,15.02
FALSE POSITIVE,11.32,131.8,0.53,4.82,243000,59.23,928,1539.9,6153,4.3,1.13,293.26,45.35,16.76
FALSE POSITIVE,1.22,132.1,0.46,2.45,95700,40.46,1977,319.1,5914,4.22,1.27,299.97,45.81,14.37
CONFIRMED,5.94,133.8,0.1,2.17,250,1.23,797,7.5,4891,4.52,0.81,289.44,49.73,14.78
FALSE POSITIVE,57.06,164.26,0.19,7.46,66200,22.31,455,751.5,5931,4.55,0.86,287.35,38.29,15.94
CONFIRMED,14.56,141.04,0.03,4.55,104,1.08,787,17.1,6065,4.45,1.06,289.92,42,13.71
FALSE POSITIVE,0.84,131.98,0.07,2.1,269,1.26,1478,13.9,4748,4.53,0.8,301.47,44.16,15.72
CONFIRMED,41.71,153.54,0.67,8.57,330,2.19,608,24.3,6434,4.39,1.14,296.11,39.32,14.16
FALSE POSITIVE,33.03,161.01,0.04,6.03,507,2.21,564,12.2,5819,4.47,0.99,295.17,38.64,15.61
FALSE POSITIVE,25.37,138.81,0.86,5.96,151000,56.02,665,2206.5,6208,4.45,1.02,285.44,47.9,15.54
FALSE POSITIVE,428.32,276.53,0.53,40.6,317000,49.76,220,4594.8,5662,4.53,0.81,291.54,42.64,14.17
FALSE POSITIVE,82.14,196.12,1.22,6.12,211000,197.85,640,3583.1,6395,3.9,2.01,292.71,38.37,12.26
FALSE POSITIVE,24.06,138.39,0.46,19.94,440000,83.77,749,1161.1,6461,4.34,1.14,295.37,46.38,14.16
FALSE POSITIVE,66.36,168.38,0.49,20.06,417000,61.42,420,1866.7,5583,4.46,0.86,295.89,42.62,15.33
FALSE POSITIVE,8.94,133.01,0.56,6.19,358000,153.32,1407,2427.5,6461,3.85,2.23,300.79,44.65,14
FALSE POSITIVE,18.8,138.03,0.52,7.48,380000,55.07,575,551.3,5334,4.59,0.8,290.21,37.77,17.63
FALSE POSITIVE,4.81,134.08,0.47,7.93,134000,44.3,1270,1033.2,6462,4.37,1.17,293.21,46.17,14.04
FALSE POSITIVE,2.33,132.2,1.75,2.97,106000,140.22,1594,997.8,6384,4.35,1.09,300.16,46.2,14.09
CONFIRMED,0.54,131.65,0.33,1.5,190,1.67,2386,46.6,5539,4.24,1.21,297.94,46.88,14.5
FALSE POSITIVE,249.36,279.66,1.17,8.36,35800,48.69,308,846.1,5940,4.35,1.02,283.55,48.22,13.87
CONFIRMED,9.51,140.56,0.14,4.37,97.9,1.65,1131,13.3,6144,4.11,1.67,295.41,42.15,14.44
CONFIRMED,96.17,170.26,0.05,7.5,895,2.07,321,20,5340,4.63,0.7,293.73,42.81,15.8
FALSE POSITIVE,1.55,131.62,0.82,3.03,11.3,1.11,3190,11.8,7612,3.79,2.97,295.06,41.12,11.63
FALSE POSITIVE,60.33,145.06,0.97,1.69,3150,4.98,240,57,3705,4.72,0.53,297.43,40.56,13.69
CONFIRMED,82.3,159.05,0.86,15.4,737,4.47,485,22.3,5602,4.13,1.43,289.71,50.13,15.65
FALSE POSITIVE,131.98,179.59,0.58,7.15,346000,147.83,457,3766.3,4916,3.72,2.18,294.04,40.66,14.31
FALSE POSITIVE,0.79,132.12,0.42,1.73,73.4,0.69,1527,9,4776,4.52,0.81,285.52,41.53,15.35
CONFIRMED,17.93,138.22,0.98,6.25,143,2.8,1002,18.8,6426,4.01,1.78,293.21,46.18,13.47
FALSE POSITIVE,184.65,151.98,0.49,18.99,410000,72.8,320,1113.2,5713,4.41,1.02,294.37,44.92,15.6
FALSE POSITIVE,6.28,131.59,1.78,8.38,182000,144.85,1029,1178,6074,4.45,0.98,295.61,39.2,14.12
FALSE POSITIVE,5.52,134.47,0.46,7.14,217000,43.06,932,2270.6,5324,4.44,0.9,298.06,40.96,16.12
FALSE POSITIVE,4.82,131.68,0.49,6.26,65900,51.32,1595,2048.7,6313,3.94,1.94,294.09,42.49,14.55
FALSE POSITIVE,178.27,255.35,1.14,5.86,45800,34.07,256,961.4,5126,4.58,0.7,295.84,41.43,14.16
FALSE POSITIVE,2.18,133.49,1.26,4.42,85400,91.3,1730,1548.2,6584,4.33,1.25,292.27,47.39,14.18
FALSE POSITIVE,244.83,285.7,1.05,4.37,40200,38.3,307,733.5,6105,4.44,0.99,284.82,47.39,13.56
CONFIRMED,30.45,140.77,0.93,6.9,472,2.6,624,17.3,6283,4.47,0.98,292.68,38.13,15.27
FALSE POSITIVE,10.27,136.5,0.66,3.88,255,1.65,828,18.8,5774,4.46,0.98,292.29,38.27,14.66
FALSE POSITIVE,18.93,145.53,1.16,6.15,189,16.74,639,16.2,5455,4.42,0.91,281.18,46.93,13.86
FALSE POSITIVE,11.96,131.9,0.58,3.13,425,2.24,847,12.4,6142,4.46,1.05,291.46,38,15.71
FALSE POSITIVE,62.13,172.07,1.16,5.25,37400,38.61,402,990.3,5344,4.49,0.81,292.52,48.12,14.82
FALSE POSITIVE,31.97,133.84,0.72,8.87,159,1.09,530,15.6,5811,4.57,0.81,292.17,44.66,14.55
FALSE POSITIVE,143.12,266.36,0.7,16.81,256000,53.3,321,1638,5713,4.55,0.85,298.08,47.35,15
FALSE POSITIVE,76.82,188.13,0.73,5.16,229000,46.61,379,2314.5,5654,4.59,0.77,282,44.96,14.06
FALSE POSITIVE,165.41,141.58,1.09,13.64,66400,112.86,514,4958.6,6061,3.76,2.19,289.7,39.37,12.72
FALSE POSITIVE,71.66,172.91,0.61,6.34,324000,55.04,365,1804.1,5075,4.5,0.82,294.49,46.68,15.17
FALSE POSITIVE,9.45,136.03,0.4,6.4,489000,68.38,813,1246.3,5754,4.53,0.91,286.29,43.61,15.65
FALSE POSITIVE,0.72,131.69,1.25,1.56,2210,25.52,1656,137.7,5239,4.6,0.76,298.91,41.84,15.58
FALSE POSITIVE,70.58,190.5,0.88,8.81,151000,50.88,435,2424,5973,4.52,0.9,291.36,42.49,14.62
FALSE POSITIVE,3,132.8,0.84,6.58,172000,112.12,1791,1467.6,5949,3.89,1.94,299.13,41.59,16.46
FALSE POSITIVE,3.84,134.45,1.19,2.86,31400,39.38,1077,259.4,5731,4.53,0.82,295.21,42.79,15.26
FALSE POSITIVE,4.75,134.55,0.02,2.35,933,505.94,7040,6.4,3486,0.5,180.01,295.03,40.96,13.52
FALSE POSITIVE,19.52,136.22,0.69,4.59,256000,53.03,588,1018.8,5349,4.53,0.85,283.92,47.78,16.74
CONFIRMED,1.77,132.09,0.01,2.46,79.2,1.02,1685,22.4,6243,4.41,1.15,298.4,42.46,12.95
CONFIRMED,19.92,139.37,0.75,6.19,143,1.41,728,28.3,6047,4.39,1.09,298.1,44.74,13.2
FALSE POSITIVE,54.06,181.79,1.34,4.48,79700,88.28,514,1012.2,5786,4.32,1.11,300.02,46.03,15.23
FALSE POSITIVE,34.53,150.1,1.09,4.47,67200,54.35,607,1008.1,6123,4.4,1.05,295.2,42.43,15.14
FALSE POSITIVE,14.28,136.33,0.01,2.07,225,1.08,625,8.7,5374,4.59,0.73,298.19,41.68,15.13
FALSE POSITIVE,18.65,147.21,0.45,3.64,434000,61.81,656,1256.8,5931,4.55,0.85,287.64,42.53,15.51
FALSE POSITIVE,20.88,146.57,0.74,8.03,233000,66.27,737,3506.5,6335,4.43,1.07,293.15,42.62,15.6
CONFIRMED,30.86,138.31,0.85,4.22,129,1.08,525,17.8,5627,4.55,0.83,292,41.79,12.99
FALSE POSITIVE,3.65,134.79,0.09,1.51,119,0.89,1015,6,5213,4.49,0.83,286.74,41.59,15.6
FALSE POSITIVE,15.65,132.81,1.27,4.16,3100,118.33,1396,81.6,6552,3.59,3.29,293.23,46.6,12.43
CONFIRMED,8.37,137.68,0.98,5.25,98,2.39,1292,16.6,6426,4.01,1.78,293.21,46.18,13.47
FALSE POSITIVE,286.18,314.1,0.6,16.1,329000,63.23,276,765.3,5904,4.47,0.95,297.77,48.1,15.14
FALSE POSITIVE,152.15,215.02,0.86,26.86,152000,53.89,362,2163.4,6217,4.47,0.99,288.28,39.99,14.61
FALSE POSITIVE,0.54,131.96,0.06,1.25,74.6,1.39,2659,17.3,5277,3.96,1.63,293.27,41.95,14.46
FALSE POSITIVE,29.91,153.6,0.56,7.27,354000,47.83,471,1349.8,5303,4.63,0.7,287.88,41.88,16.13
FALSE POSITIVE,5.88,136.42,0.55,4.72,363000,125.68,1402,1210.8,5702,3.81,1.82,295.69,42.97,15.18
FALSE POSITIVE,10.64,139.78,0.4,5.17,216000,64.91,1110,1419,6781,4.22,1.35,285.33,46.31,17.04
FALSE POSITIVE,2.1,132.87,1.21,6.48,24900,36.63,1238,625.1,5546,4.59,0.79,290.91,43.93,13.17
FALSE POSITIVE,46.7,167.7,1.13,3.57,54600,38.79,468,879,5772,4.52,0.76,287.41,49.46,15.27
CONFIRMED,16,144.24,0.09,3.47,222,1.04,550,20,4955,4.61,0.72,286.66,47.41,14.02
FALSE POSITIVE,25.95,148.93,1.26,21.57,1310,35.1,645,63.7,5753,4.34,1.08,293.72,38.97,15
FALSE POSITIVE,56.05,159.17,1.16,4.04,53700,42.62,400,1003.7,5222,4.52,0.78,292.42,48.16,14.97
FALSE POSITIVE,2.25,131.55,0.65,2.1,23.9,1.14,2934,9.2,9464,4.12,2.18,296.89,41.2,13.09
FALSE POSITIVE,50.36,136.91,0.16,5.52,107000,31.66,492,1219.4,5936,4.5,0.97,293.44,46.47,15.72
CONFIRMED,14.03,138.06,0.04,6.68,211,1.45,783,11.8,6063,4.47,1,290.15,41.46,15.65
FALSE POSITIVE,18.8,138.02,0.94,4.8,487,2.04,509,11.2,4808,4.59,0.72,290.2,37.77,16.15
FALSE POSITIVE,156.52,278.14,1,12.23,113000,61.44,367,2016.1,6002,4.35,1.08,299.66,43.76,13.38
FALSE POSITIVE,1.37,132.2,0.87,3.38,159000,43.45,1403,796.5,5353,4.53,0.76,295.25,42.9,15
FALSE POSITIVE,313.09,424.72,0.4,14.34,446000,47.52,207,1952.3,5067,4.6,0.67,281.72,44.87,15.64
FALSE POSITIVE,0.57,131.79,0.45,2.46,61.2,0.77,2269,11.5,6106,4.49,0.97,291.01,41.91,15.64
FALSE POSITIVE,157.32,222.9,0.89,21.92,154000,56.66,351,1386.8,6109,4.47,0.99,284.51,45.12,15.29
FALSE POSITIVE,9.53,138.23,0.6,5.96,322000,60.49,805,185.6,5501,4.44,0.91,295.23,38.93,14.69
FALSE POSITIVE,4.22,133.51,0.77,3.63,23400,16.67,1189,699.9,6185,4.47,0.99,297.47,47.02,15.23
FALSE POSITIVE,8.53,137.65,1.23,4,20100,44.86,940,389.8,6185,4.47,0.99,297.47,47.02,15.23
FALSE POSITIVE,1.92,132.74,1,3.46,101000,70.65,1827,362.1,6408,4.25,1.3,291.45,38.64,15.93
CONFIRMED,16.01,142.64,0.98,1.27,278,2.99,838,14.7,5857,4.2,1.31,298.07,49.41,13.77
CONFIRMED,54.65,176.04,0.02,7.96,433,2.64,538,15.1,5751,4.23,1.28,290.59,45.44,15.34
CONFIRMED,100.83,216.39,0.68,8.39,1780,4.35,364,36.7,5301,4.39,0.98,284.3,49.16,15.28
FALSE POSITIVE,0.91,132.2,0.01,1.7,73.2,0.77,1780,10.2,5730,4.52,0.9,289.3,41.29,15.38
FALSE POSITIVE,15.98,135.72,1.21,3.55,644,90.37,1143,37.5,5220,3.52,3.46,296.67,50.15,13.93
CONFIRMED,16.05,141.73,0.14,3.17,94.4,0.81,630,14.6,5428,4.56,0.85,288.56,46.54,13.14
FALSE POSITIVE,11.08,746.2,0.21,6.63,269000,48.38,793,1725.6,5831,4.5,0.92,293.25,46.05,16.41
FALSE POSITIVE,1.1,132.51,2.62,3.03,541,168.68,1726,67.1,5869,4.51,0.94,297.79,47.1,13.95
FALSE POSITIVE,3.01,132.25,0.71,3.32,198000,58.77,1388,2060.3,6015,4.33,1.09,294.14,39.09,14.78
FALSE POSITIVE,0.76,131.82,0.5,3.25,42.5,0.67,2059,13.7,6046,4.48,1.01,290.55,40.69,14.92
FALSE POSITIVE,4.66,133.67,0.29,4.06,555000,278.81,1683,445.7,5062,3.52,3.58,287.99,38.89,16.14
FALSE POSITIVE,1.09,132.1,0.49,2.98,402000,40.74,1164,1160.6,4556,4.67,0.58,295.51,44.11,15.9
FALSE POSITIVE,3.05,133.88,1.11,3.23,52900,35.35,1035,661.4,5414,4.63,0.71,298.13,41.95,15.74
FALSE POSITIVE,2.99,131.89,0,2.53,114000,60.35,1476,296.8,4927,3.88,1.84,289.86,46.79,16.33
FALSE POSITIVE,4.66,133.67,1.25,3.77,11400,52.09,1221,272.6,5699,4.19,1.22,287.99,38.89,13.92
FALSE POSITIVE,0.95,131.85,0.58,1.06,33,0.81,2325,1.5,6092,4.11,1.36,298.06,40.94,11.8
FALSE POSITIVE,0.56,131.79,0.69,2.58,253000,33.4,1458,1361.5,4748,4.73,0.53,296.37,41.39,15.84
FALSE POSITIVE,1.67,131.79,0.73,4.92,235000,150.48,3055,858.8,8285,3.97,2.45,293.57,48.01,14.57
CONFIRMED,7.32,137.22,0.11,4.88,167,5.05,1682,16.3,5745,3.5,3.96,295.5,38.64,13.49
FALSE POSITIVE,14.15,144.18,1.2,4.12,21700,29.61,495,23.9,4352,4.61,0.66,290.35,41.77,15.06
FALSE POSITIVE,33.94,147.18,1.98,11.17,33000,138.25,618,1112,6220,4.41,1.07,293.03,42.64,15.19
CONFIRMED,20.71,139.98,0.92,9.68,116,3.22,967,13.5,5668,3.79,2.44,298.12,40.38,14.28
FALSE POSITIVE,4.29,134.59,0.54,2.64,173000,25.8,686,397.1,4206,4.66,0.59,293.46,42.88,15.3
FALSE POSITIVE,290.78,393.51,0.76,12.05,226000,45.27,222,1836.8,5207,4.59,0.73,283.9,42.3,14.28
FALSE POSITIVE,5.02,134.49,0.19,4.36,145000,41.75,1229,970.9,6519,4.41,1.08,294.92,47.25,14.12
FALSE POSITIVE,0.94,132.35,0.52,3.16,40.4,0.52,1588,12,5398,4.58,0.81,294.12,40.68,14.4
FALSE POSITIVE,204.03,253.54,0.49,17.56,411000,57.35,272,884.9,5553,4.58,0.81,292.38,37.66,15.73
FALSE POSITIVE,2.15,132.77,0.42,2.94,458000,49.6,1009,619.8,4694,4.6,0.67,289.25,42.56,15.78
FALSE POSITIVE,58.62,178.57,0.9,8.53,143000,40.43,385,1887.7,5232,4.55,0.73,295.61,43.26,15.16
FALSE POSITIVE,3.13,134.48,1.27,2.22,5030,110.58,2087,245.2,6137,3.71,2.85,287.15,42.11,12.77
FALSE POSITIVE,6.68,137.45,0.25,2.37,178,1.09,890,7,5774,4.57,0.82,299.34,40.93,15.55
FALSE POSITIVE,1.45,131.99,1.24,3.64,25900,92.78,2675,419,7564,4.09,1.89,295.82,44.01,13.91
FALSE POSITIVE,3.22,131.86,0.42,4.62,404000,79.08,1456,1905.1,6389,4.33,1.16,298.35,47.67,16.17
FALSE POSITIVE,33.32,132.59,0.47,37.22,2010,2.55,416,173.7,5192,4.71,0.56,284.85,45.86,15.21
FALSE POSITIVE,0.94,131.9,0.12,4.42,34.5,1.41,2761,13.3,5766,3.78,2.41,299.37,41.24,13.13
FALSE POSITIVE,1.99,131.71,1.13,2.07,315,6.81,675,16.8,3638,4.84,0.42,291.29,40.73,15.86
FALSE POSITIVE,36.51,163.79,0.13,6.48,112000,33.27,546,1701.1,5811,4.47,1,294.2,38.84,15.42
CONFIRMED,39.82,166.65,0.6,10.76,199,2.23,650,29.4,5710,4.07,1.52,286.65,49.94,13.1
CONFIRMED,25.43,143.13,0.23,6.51,302,2,667,14.3,5806,4.32,1.16,283.8,46.93,15.39
FALSE POSITIVE,67.45,151.97,1.01,8.94,7060,36.7,562,205.4,4847,3.73,2.19,297.17,50.15,13.34
CONFIRMED,198.71,156.52,0.03,8.64,2090,3.56,258,62.1,5180,4.55,0.8,286.56,38.41,14.44
FALSE POSITIVE,15.87,143.86,3.45,8.04,208000,630.53,962,978.2,5622,3.91,1.9,299.05,41.54,14.68
FALSE POSITIVE,50.56,145.87,0.78,5.38,50.5,1.57,761,6.8,6759,4.02,2.02,295.2,40.67,10.95
FALSE POSITIVE,65.58,182.65,0.72,5.01,242000,41.22,371,1649.5,5516,4.65,0.67,294.44,48.99,15.74
FALSE POSITIVE,111.32,226.65,0.23,23.01,62700,63.68,539,3433.7,5022,3.56,2.58,290.51,44.56,12.44
FALSE POSITIVE,110.3,235.75,0.25,16.53,176000,37.88,362,2084.3,5753,4.5,0.9,295.46,39.08,15.26
FALSE POSITIVE,95.18,224.6,0.76,3.6,129000,28.75,272,2279.1,4523,4.62,0.65,296.34,48.76,14.4
FALSE POSITIVE,61.49,163.63,0.68,9.75,58700,22.76,438,1421.7,5830,4.54,0.88,294.36,45.2,15.52
CONFIRMED,110.29,239.22,0.68,4.43,145,1.41,414,16.4,5931,4.32,1.1,283.24,41.34,11.82
FALSE POSITIVE,10.83,134.93,0.14,0.73,92.1,0.76,758,4.8,5862,4.58,0.79,288.66,41.4,13.49
CONFIRMED,82.29,212.03,0.2,7.05,371,1.82,400,13,5626,4.47,0.96,281.3,44.47,14.83
CONFIRMED,92.44,163.58,0.94,6.43,955,2.89,348,17.8,5595,4.61,0.74,295.69,42.61,15.45
FALSE POSITIVE,11.08,136.66,0.97,6.23,601,7.34,1108,51.3,5125,3.67,2.2,293.25,46.05,13.57
FALSE POSITIVE,22.78,145.53,0.63,4.19,120,1.33,759,18.2,6517,4.38,1.16,297.5,41.41,12.97
FALSE POSITIVE,23.74,147.01,1,8.51,95900,53.27,620,1221.2,5559,4.39,1,298.37,41.29,15.15
FALSE POSITIVE,21.46,132.22,1.14,5.68,122,19.89,722,13.4,5806,4.28,1.21,294.92,45.68,13.8
FALSE POSITIVE,75.13,184.43,0.49,20.87,122000,26.21,359,3625.5,5365,4.59,0.73,292.72,41.9,14.66
FALSE POSITIVE,369.07,298.4,0.93,5.83,946,3.07,197,11.7,4855,4.54,0.78,287.74,38.11,14.52
FALSE POSITIVE,243.82,159.5,1.03,10.93,56800,56.63,365,2804.3,6370,4.23,1.32,292.26,40.7,13.3
FALSE POSITIVE,16.23,136.64,0.8,5.09,193000,46.52,599,1870,5297,4.59,0.8,297.19,46.83,15.9
FALSE POSITIVE,47.19,148.04,0.54,11.56,371000,66.71,484,804,5458,4.38,0.97,286.85,39.3,15.62
FALSE POSITIVE,1.5,131.57,0.52,5.86,388000,90.92,1905,2624,6327,4.32,1.29,295.22,39.91,11.83
FALSE POSITIVE,4.05,134.74,15.33,4.01,111000,1668.79,1191,446.1,6022,4.45,1.04,292.03,49.21,15.54
FALSE POSITIVE,10.99,133.25,1.27,3.79,1690,40.17,978,102.9,6553,4.37,1.16,300.78,44.19,13.43
FALSE POSITIVE,10.99,138.81,0.92,5.04,1460,5.33,978,100.4,6553,4.37,1.16,300.78,44.19,13.43
CONFIRMED,16.59,133.28,0.17,7.04,231,2.09,821,14.6,5626,4.15,1.39,293.63,45.74,15.59
FALSE POSITIVE,26.84,158.13,0.92,1.62,8510,12.68,658,101.4,6194,4.45,1.07,285.15,41.39,14.43
CONFIRMED,16.75,131.6,0.76,3.17,338,3.65,801,18.2,4807,3.91,1.8,288.6,41.04,14.53
FALSE POSITIVE,49.61,166,0.93,7.08,130000,57.08,536,2070.3,6241,4.45,1.03,293.22,39.21,15.22
CONFIRMED,84.7,152.18,0.01,10.39,656,4.17,537,17,6085,4.12,1.63,298.96,48.26,15.17
FALSE POSITIVE,0.76,131.81,0.73,5.02,250000,76.26,2412,2158.5,6592,4.37,1.19,284.35,40.71,11.64
FALSE POSITIVE,101.26,214.13,0.94,17.9,72800,44,435,3573.1,6309,4.41,1.06,290.43,46.89,14.32
FALSE POSITIVE,120.58,248.24,0.85,8.29,193000,41.71,291,1184.8,5294,4.65,0.67,288.45,40.43,15.78
FALSE POSITIVE,1.56,131.57,0.51,3.37,226000,35.12,1182,421.6,4868,4.58,0.71,283.32,48.4,14.5
FALSE POSITIVE,2.64,131.58,1.11,5.96,170000,76.02,1242,1471.6,5639,4.51,0.95,293.67,46.3,15.9
FALSE POSITIVE,8.65,135.46,0.29,8.74,218000,54.24,1033,2441.7,6444,4.38,1.13,294.39,43.69,14.1
FALSE POSITIVE,112.46,197.56,0.52,31.83,242000,129.04,692,1374,7426,3.9,2.46,296.45,49.79,10.97
FALSE POSITIVE,42.4,354.46,0.34,18.36,206000,44.7,542,2261.9,6153,4.49,0.96,299.07,40.52,15.75
FALSE POSITIVE,27.01,141.29,0.95,1.97,67900,22.32,330,541.3,3900,4.73,0.53,284.5,41.33,15.48
CONFIRMED,15.02,143.7,0.96,5.07,96.9,1.77,874,7.4,5831,4.16,1.38,288.55,38.57,13.11
CONFIRMED,85.27,182.37,0.97,13.31,768,3.85,443,18.9,5922,4.35,1.06,286.13,38.78,15.42
FALSE POSITIVE,12.43,141.53,0.97,29.17,410,2.66,790,63.7,5952,4.49,0.97,297.61,40.65,14.94
